"Reference";"Value";"Part Number";"Qty";"DNP";"Footprint";"Datasheet";"Voltage"
"C1,C8";"0.01u";"KGM21NR71H103KT";"2";"";"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";"~";"50V"
"C2";"4.7u";"GRM21BC71H475KE11K";"1";"";"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";"~";"50V"
"C3,C15";"0.1u";"0805YC104MAT2A";"2";"";"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";"~";"35V"
"C4,C34";"1000p";"C0805C102K5RACTU";"2";"";"1_User_Library:C_0805_2012Metric_HandSolder";"~";"Vol"
"C5,C6,C13,C14";"10u";"CL31B106KAHNNNE";"4";"";"Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";"~";"25V"
"C7,C9";"4.7u";"GRM21BR71A475KE51L";"2";"";"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";"~";"10V"
"C10";"1n";"C0805C102KDRACAUTO";"1";"";"1_User_Library:C_0805_2012Metric_HandSolder";"~";"1kV"
"C11,C12";"10n";"C0805C103K5RACTU";"2";"";"1_User_Library:C_0805_2012Metric_HandSolder";"~";"50V"
"C16,C18,C21,C23,C26,C28";"100n";"GCM21BR71H104KA37L";"6";"";"1_User_Library:C_0805_2012Metric_HandSolder";"~";"50V"
"C17,C19,C20,C22,C25,C30,C32,C33";"1u";"0805YC105KAT2A";"8";"";"1_User_Library:C_0805_2012Metric_HandSolder";"~";"16V"
"C24,C27,C29,C31";"68p";"C0805C680K5RACAUTO";"4";"";"1_User_Library:C_0805_2012Metric_HandSolder";"~";"50V"
"D1";"MMSZ5238BT1G";"MMSZ5238BT1G";"1";"";"Diode_SMD:D_SOD-123";"~";""
"D2,D3,D4,D5,D6";"LED";"APT2012PGW";"5";"";"LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";"~";""
"H1,H2,H3,H4";"MountingHole";"24883";"4";"";"1_User_Library:Keystone_M3_Standoff";"~";""
"J1,J5";"Conn_02x01";"FTS-102-01-L-S";"2";"";"Connector_PinHeader_1.27mm:PinHeader_1x02_P1.27mm_Vertical,Connector_PinHeader_1.27mm:PinHeader_2x01_P1.27mm_Vertical";"~";""
"J2";"USB4125-GF-A-0190";"USB4125-GF-A-0190";"1";"";"1_User_Library:CONN6_125-GF-A-0190_GCT";"USB4125-GF-A-0190";""
"J3";"PJRAN2X1U01AUX";"PJRAN2X1U01AUX";"1";"";"1_User_Library:CONN6_984x394_SWC_BS";"PJRAN2X1U01AUX";""
"J4";"Conn_01x04";"FTS-104-01-L-S";"1";"";"Connector_PinHeader_1.27mm:PinHeader_1x04_P1.27mm_Vertical";"~";""
